REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
/tmp/tpf70d40fd_ecb0_4e15_a704_327a10c72f5f.wav	 /tmp/tp82ff23f1_6a73_4db1_8dff_9dca109e5bcd.wav	 2.043	 1.667	 8000	nb
/tmp/tp8a9bde6e_04f0_4a27_93c4_f4272444fbbf.wav	 /tmp/tp5944a4f2_440b_400b_97a8_2036fe1594eb.wav	 1.502	 1.327	 8000	nb
/tmp/tp437ff2b2_a6e6_4fa6_a112_129bacd759bc.wav	 /tmp/tp31dd00b5_2141_4b5b_933f_8627a6db77b9.wav	 2.012	 1.642	 8000	nb
/tmp/tp19f5357a_f319_43d1_94c0_991588cb0361.wav	 /tmp/tp53dc0850_3eb8_4501_8a55_1410b4758a61.wav	 1.498	 1.325	 8000	nb
/tmp/tp751783a7_4954_430b_a5e2_d9b4b77ab57e.wav	 /tmp/tpa892d729_a439_4d8d_89f4_952e7cb6a383.wav	 1.897	 1.554	 8000	nb
/tmp/tp09bcb3bf_3b41_407d_9c88_36efe342056d.wav	 /tmp/tp8981ddf3_5f57_4395_8902_cdfb7667f573.wav	 1.501	 1.326	 8000	nb
/tmp/tp784fb3a3_1e2a_401c_b6e8_c88092292ea4.wav	 /tmp/tp5dd21581_500c_4918_a5d2_20b60e7d9144.wav	 2.173	 1.782	 8000	nb
/tmp/tp68cd97b8_4994_4b97_8e86_2b7ed8c37af5.wav	 /tmp/tp3d88f729_e101_4d62_aacf_f959a5e403c2.wav	 1.486	 1.320	 8000	nb
/tmp/tp30bd9efb_6c6a_48e7_9b80_5ebe8c99e03f.wav	 /tmp/tp5c2ae4b8_046d_4c0e_9e32_05d5aee03f65.wav	 2.156	 1.766	 8000	nb
/tmp/tpfb9facc7_3aa5_421a_8e6e_45106c9a7187.wav	 /tmp/tp7fb44a0e_9b21_4ca2_8efa_5fef90dece45.wav	 1.955	 1.596	 8000	nb
/tmp/tpc20580c8_1d0f_4c1c_b804_c4a4d2a8df98.wav	 /tmp/tpd382c3ba_2aa2_4a67_ab88_229f51c351b1.wav	 2.322	 1.932	 8000	nb
/tmp/tp602c1811_757c_45fc_b1aa_01d8be6f6847.wav	 /tmp/tpc7c56711_6c3f_49f3_b842_596b487ecccb.wav	 1.956	 1.597	 8000	nb
/tmp/tp94007568_12b2_4ff3_8a7e_ad7b9fbf01a6.wav	 /tmp/tp51e94540_759e_4ef3_9892_53d36b4b9b12.wav	 2.450	 2.075	 8000	nb
/tmp/tp6ca89b89_b787_4460_8a6c_068524e27daf.wav	 /tmp/tp7ade1b0a_dae3_4349_aade_21d208d53764.wav	 1.992	 1.625	 8000	nb
/tmp/tp277530a3_d892_4edb_8fd1_cd06cdae8b7d.wav	 /tmp/tpc1728ff9_735f_4b9a_9409_7110f75e12fd.wav	 2.437	 2.060	 8000	nb
/tmp/tp65b488ac_859d_4e47_a9c3_2c618c7175e9.wav	 /tmp/tp9ec51754_9cfa_4ec4_a545_c0e42a73fc04.wav	 1.947	 1.591	 8000	nb
/tmp/tp28068068_d2c7_4779_bf68_1bf1fc686b92.wav	 /tmp/tp18ef3804_8540_4f5f_9b9b_55618bf52e54.wav	 2.396	 2.013	 8000	nb
/tmp/tp23e43187_5be5_4aa3_9286_c5a0e2eee2a3.wav	 /tmp/tpa39191e5_88fe_459f_8fdc_a7a85dca01d2.wav	 1.979	 1.615	 8000	nb
/tmp/tpfecc43e7_f6b1_4408_ac3e_f8854cd8fd81.wav	 /tmp/tp788d301d_540f_4aea_9b0f_5267d1189523.wav	 2.200	 1.808	 8000	nb
/tmp/tp48b41378_2276_4a3e_8d12_f442faee30eb.wav	 /tmp/tpa7e4595c_0a31_4087_9936_755e30a36162.wav	 1.956	 1.598	 8000	nb
/tmp/tp4810d4f6_3b8b_458f_90e5_a59bf5f7eb0e.wav	 /tmp/tp8746bf7a_3fc1_458e_97e0_739da83ec080.wav	 2.221	 1.828	 8000	nb
/tmp/tp9d3049de_0723_4ce1_bc7a_7a315d069d28.wav	 /tmp/tp7c5b8b8e_ce20_47e4_851c_98deb3fc979d.wav	 1.942	 1.587	 8000	nb
/tmp/tp0478919c_9477_417a_aa18_ad8196c0315e.wav	 /tmp/tp74148fcd_714d_4954_ba4d_7a97a0b53d2a.wav	 2.408	 2.027	 8000	nb
/tmp/tpdcef1ebb_9754_4a26_b4cd_f66d82b725d4.wav	 /tmp/tpd4b0bed2_daa5_4871_986b_a62766773802.wav	 1.987	 1.621	 8000	nb
/tmp/tpe9402f87_6a3f_4dd0_a2d1_10fdc9a8a66a.wav	 /tmp/tpbb9ed8d2_0ab4_490b_bc8b_148cc6e1c703.wav	 2.087	 1.704	 8000	nb
/tmp/tp5ca6c4df_430e_4cae_a703_676fb807c523.wav	 /tmp/tp29199cde_fa91_4e56_afdb_e3d4d72517a9.wav	 1.979	 1.615	 8000	nb
/tmp/tp32134d06_5453_43fc_8f3f_701a0de3f76d.wav	 /tmp/tp3d360dd6_3e13_46b4_ad09_7794f6aac7d9.wav	 2.428	 2.050	 8000	nb
/tmp/tp97e0f626_2dea_4eb7_a4b0_57bb9c563536.wav	 /tmp/tpd420288b_706c_42b6_8656_a342958dd5aa.wav	 1.932	 1.579	 8000	nb
/tmp/tpeec41cd9_3770_4c3d_abf6_7e6b86f691c7.wav	 /tmp/tp46ec95d9_09ec_401a_a57d_90a96c2182e2.wav	 2.237	 1.844	 8000	nb
/tmp/tpd6de7895_4839_4ae6_81da_11f64e7850bc.wav	 /tmp/tpe4f97022_7286_4159_9a50_ca799ef7c792.wav	 1.993	 1.627	 8000	nb
/tmp/tp70727ab2_6578_4c1f_b730_5d6ecd74a28b.wav	 /tmp/tp6f63bef2_6d98_47b7_8393_f12fa5d626fd.wav	 2.447	 2.072	 8000	nb
/tmp/tp5d2321fc_a82b_4418_bfb7_31ef7d1fd6a7.wav	 /tmp/tpe7ab65be_1911_4a71_bbe2_f2104240ffce.wav	 1.980	 1.616	 8000	nb
/tmp/tp538b8c49_ba21_4d3d_a8fb_e35579443898.wav	 /tmp/tp338f3d6a_7b42_4d8b_8958_60d72431a713.wav	 2.286	 1.893	 8000	nb
/tmp/tp05e6b186_9c9d_44fd_b872_4539564fd6e9.wav	 /tmp/tp7e1baf11_3b38_4eca_b8d6_9ed1a6291ad1.wav	 1.871	 1.536	 8000	nb
/tmp/tp0ca7d1ca_9108_4db2_a192_d1a8f8168e47.wav	 /tmp/tpb03f0b8e_bde5_4475_8687_632c6544c26c.wav	 2.180	 1.789	 8000	nb
/tmp/tp146abe61_d008_47c4_b3c9_97d2bc74c7d7.wav	 /tmp/tp4e9637af_2d7e_4a36_afbb_d3ca57ab24de.wav	 1.855	 1.525	 8000	nb
/tmp/tp3883640a_fa5b_4164_b480_059eed1c6ae8.wav	 /tmp/tpba6c3d54_861f_42b6_b394_ecb9121ff129.wav	 2.415	 2.035	 8000	nb
/tmp/tp1c4f142f_7bf7_47c3_bea9_3927a7916d1c.wav	 /tmp/tp15ddf5d0_9a13_44fd_b9e0_319c7ef7b57c.wav	 1.847	 1.520	 8000	nb
/tmp/tpd1b00b28_e85f_4ade_bfef_0bbd2c0be073.wav	 /tmp/tpa2897fb0_8fa2_4f33_b8ea_7eb8d328dffd.wav	 2.251	 1.858	 8000	nb
/tmp/tpc253dc2a_2820_46b0_a6af_a767c02873f6.wav	 /tmp/tpbf1e9113_f9ac_4495_bdd9_28f52a22a8ca.wav	 1.787	 1.480	 8000	nb
/tmp/tp63f0f896_37e4_48b0_86e6_b02a0bdba262.wav	 /tmp/tp98056bfe_05dd_48db_a95a_6539e4d8619d.wav	 2.177	 1.786	 8000	nb
/tmp/tp9ef9838c_f22c_4d31_a1df_17a3dfb752ef.wav	 /tmp/tpc2736e42_8909_490e_8c34_d84793caf3a0.wav	 1.796	 1.485	 8000	nb
/tmp/tp77ee753e_3d92_48fa_9542_5e9ac485a81c.wav	 /tmp/tp7e8f3739_9eb5_4c25_912f_27395de43ac8.wav	 2.255	 1.862	 8000	nb
/tmp/tp433d2b1d_3c07_44bd_8e48_a5ae28d25fe5.wav	 /tmp/tpb89bb110_2c07_4ecd_98e3_d5c761ac3751.wav	 1.784	 1.478	 8000	nb
/tmp/tpfdd21c98_3100_48bc_bfc8_4a8e8d3ed09f.wav	 /tmp/tp7ba9eda4_d556_454d_a029_aa343ffc7569.wav	 2.287	 1.894	 8000	nb
/tmp/tp11d6968f_43b5_4422_b61c_724ed6489fc6.wav	 /tmp/tp03d5051a_2187_4032_9a6c_32b8eeb2321d.wav	 1.790	 1.482	 8000	nb
/tmp/tp0ef9d0a3_0e89_4abc_a6f9_2f3b50ef314d.wav	 /tmp/tp7e14801c_6b92_424d_aae6_b6f16d5a2f5b.wav	 2.341	 1.952	 8000	nb
/tmp/tpd5264e70_7949_48c3_b152_04d38977dc11.wav	 /tmp/tpb6277273_1b46_4ce6_beef_75e5b34ddb22.wav	 1.587	 1.367	 8000	nb
/tmp/tp4e7c1446_a55f_4ed3_929a_ac65e910d0f0.wav	 /tmp/tp682b0d8f_b9da_4060_be99_7be7cd25832d.wav	 2.276	 1.883	 8000	nb
/tmp/tp7036db63_5df8_4177_9ceb_0fb632337634.wav	 /tmp/tp2fb63a1b_d5e1_4e21_873a_82427d569c84.wav	 1.585	 1.366	 8000	nb
/tmp/tp35a36b7d_54ce_4b5c_ac20_e793857ae6b2.wav	 /tmp/tpd3c8507d_810c_4a96_a651_44cd0f1dbd4e.wav	 2.084	 1.701	 8000	nb
/tmp/tp79cd5b0b_2593_4b0b_a062_49ea235b6108.wav	 /tmp/tp29216b0a_568e_45ad_99b3_6fd001e8433b.wav	 1.569	 1.358	 8000	nb
/tmp/tp898d351f_d534_477b_835f_5e990f6754cf.wav	 /tmp/tp6f83c307_322e_47e7_8d2a_953bf009d705.wav	 1.941	 1.586	 8000	nb
/tmp/tp3e7ecc1f_5f86_4069_b776_a2919b1a2a63.wav	 /tmp/tp0eeee47b_1fa1_4268_9636_4c7cbdca808f.wav	 1.923	 1.573	 8000	nb
/tmp/tp33284a8f_1701_4d48_82fb_dceea7cdd253.wav	 /tmp/tp4c7faf21_0aa1_4470_b43a_4a465d4b0300.wav	 2.479	 2.110	 8000	nb
/tmp/tpbde2054b_fef1_4161_bb69_b81567a83c71.wav	 /tmp/tp27d8c0e0_e466_4af7_9733_49d1735127c3.wav	 1.586	 1.367	 8000	nb
/tmp/tp6d34caf0_2ecc_418e_997c_0c7e026c4400.wav	 /tmp/tp3753195a_bee5_4ff7_9e2d_362dc9c813bc.wav	 2.044	 1.668	 8000	nb
/tmp/tpa78f88c8_fb86_403d_a8a4_8ca289642692.wav	 /tmp/tp9182316e_5753_45a7_a0c5_f0fc6b8093c9.wav	 1.363	 1.270	 8000	nb
/tmp/tpa9370843_72f5_48df_aa36_e14eb312a25d.wav	 /tmp/tpb866cf13_c6bc_4cce_acd0_ab7a1ec44ba7.wav	 1.634	 1.392	 8000	nb
/tmp/tpcb639601_e338_4f79_af17_63901a9c0076.wav	 /tmp/tpea63c602_4bb9_465d_b192_271cab546ef3.wav	 1.386	 1.278	 8000	nb
/tmp/tpea27d896_6221_4644_9a81_11fb6f8a72da.wav	 /tmp/tp10bfa846_2700_486f_b959_23eb02a72098.wav	 1.556	 1.352	 8000	nb
/tmp/tp4936b9a4_5256_42f4_8ced_d2005868f0c7.wav	 /tmp/tp4bbef405_8d0b_407e_b370_e1ae4eb24a50.wav	 1.077	 1.180	 8000	nb
/tmp/tp3c45a4db_cf52_4e1d_a9f4_61e9833b523e.wav	 /tmp/tpc24d4b4d_4b24_4cdf_b193_392f68c8530f.wav	 0.894	 1.138	 8000	nb
/tmp/tpdc807d80_8ad3_46b2_b088_e3524961d793.wav	 /tmp/tp5d4893f4_c487_44c4_a7ed_82caf336da0b.wav	 1.015	 1.164	 8000	nb
/tmp/tp07d80cf4_5123_4ae9_931d_61e4f496dbc6.wav	 /tmp/tp56768f43_4ec2_4455_bc46_2188fd981b2f.wav	 1.227	 1.223	 8000	nb
/tmp/tp62753348_c534_4023_9658_55305a01578c.wav	 /tmp/tp404e296d_8435_4c66_af55_bbea24d5cb67.wav	 1.467	 1.311	 8000	nb
/tmp/tpbd4b8a8a_acdf_487e_9755_da766e17ccb9.wav	 /tmp/tpdb909835_1e5b_4376_a6f8_c13e151bd85d.wav	 2.021	 1.648	 8000	nb
/tmp/tpfa744c8c_5e63_4994_aeef_5a8896318c61.wav	 /tmp/tp0df7f63b_0a4d_46d8_a206_d677257bbc69.wav	 1.483	 1.318	 8000	nb
/tmp/tpf586f611_df17_441c_9a4a_f5bf679ec536.wav	 /tmp/tpd364e4a4_97c6_40ff_9773_d0763c354192.wav	 1.932	 1.580	 8000	nb
/tmp/tp9a899b9d_825c_450e_81be_660478218870.wav	 /tmp/tp2a6fcbe3_8e83_4159_8d82_9959d47ffc98.wav	 1.499	 1.326	 8000	nb
/tmp/tpf80afe29_68c7_4def_abff_a541adaed208.wav	 /tmp/tpa014f9f7_352c_42df_b206_ae5bddfb0a32.wav	 2.021	 1.649	 8000	nb
/tmp/tp2e002771_71a7_4d66_a95c_d303ada543da.wav	 /tmp/tpe4812739_6f3a_4d52_8eca_c1b4941ce6e9.wav	 1.488	 1.321	 8000	nb
/tmp/tp0bcdbff1_715c_4eec_92cf_48a089fbfb7b.wav	 /tmp/tpbdc65779_aba0_489c_99e0_2abda4140eed.wav	 1.935	 1.582	 8000	nb
/tmp/tpa00b1551_3542_4cb0_b896_7a4aed3dff09.wav	 /tmp/tp7588b73b_1fcc_4e89_bd4a_b974ba3b88b1.wav	 1.499	 1.326	 8000	nb
/tmp/tp998327d8_6872_4d9e_a045_969c9e09a3f7.wav	 /tmp/tp9eef89db_3484_4d33_a725_7311a5a8f7c3.wav	 2.173	 1.782	 8000	nb
/tmp/tpf9212b26_8b03_4156_bec0_e680b8ad102f.wav	 /tmp/tpee538b46_5ef6_454c_81e7_150dff592931.wav	 1.478	 1.316	 8000	nb
/tmp/tp0c34bb0b_4291_4033_bb2f_88d6b51686c7.wav	 /tmp/tp15f9e295_6ca2_466a_a959_c584c6e89f9a.wav	 2.036	 1.661	 8000	nb
/tmp/tp7a5642b5_79f4_49f1_bd24_094227fb21f2.wav	 /tmp/tpddd9e792_b61c_4577_811f_bbf02959a850.wav	 1.506	 1.329	 8000	nb
/tmp/tp91c1e67e_0cfd_4ef3_8589_f02a2d04189c.wav	 /tmp/tp86ab9174_ee73_4897_85ee_5f95d5d7b919.wav	 2.085	 1.702	 8000	nb
/tmp/tp629cd763_f0aa_41b8_a2de_81859d71bee5.wav	 /tmp/tp96380269_6b4d_4431_ad08_d8736ddfa1cb.wav	 1.491	 1.322	 8000	nb
/tmp/tp1fe0a252_3b01_488d_94b2_b6293ba19536.wav	 /tmp/tpe48701cd_f6a1_409b_9660_cf491e8ff0b9.wav	 2.132	 1.745	 8000	nb
/tmp/tp76124322_aea9_48cf_bd47_744cb445b3a8.wav	 /tmp/tp46c64934_71c0_4b48_be42_8e28e6a1f418.wav	 1.490	 1.321	 8000	nb
/tmp/tp8a03d025_f7cf_4fc7_a375_533b3dbe49c9.wav	 /tmp/tp59ffb136_8f15_43a7_983f_caaf7f1c5cdc.wav	 1.956	 1.597	 8000	nb
/tmp/tp29adeed1_81b9_4699_9802_e9856c00c684.wav	 /tmp/tpc69d1c86_2feb_4107_a184_a7c671a4c4b2.wav	 1.470	 1.313	 8000	nb
/tmp/tpd55ecc14_46e5_4d85_a008_65047726ae3d.wav	 /tmp/tpf551dcf2_7e5b_44c1_9cca_662a749fa7fd.wav	 2.005	 1.635	 8000	nb
/tmp/tp80b656c8_b95d_475e_bdc0_c42305f85018.wav	 /tmp/tp2050e5c5_0346_4561_88ad_740ad8cedaf2.wav	 1.511	 1.331	 8000	nb
/tmp/tp2ee09baf_15be_478c_8958_36a91b7fd575.wav	 /tmp/tp95c686f5_2db5_4bd4_a9b4_bd13ea51d629.wav	 2.059	 1.680	 8000	nb
/tmp/tp2ce987a7_5193_450f_a9b8_aed7683df8d3.wav	 /tmp/tp60ab5589_7d40_453c_b434_9c333e8b4292.wav	 1.510	 1.331	 8000	nb
